Code	Classification
77701315	CUSTOMER
77701316	CUSTOMER
77701317	CUSTOMER
77701318	CUSTOMER
77701319	CUSTOMER
77701320	CUSTOMER
77701321	CUSTOMER
77701322	CUSTOMER
77701323	EKO
77701324	CLOSED
77701325	CUSTOMER
77701326	CLOSED
77701327	INTERNAL
77701328	CLOSED
77701329	INTERNAL
77701330	PETROLINA
77701331	OFFICE DEPOT
77701332	INTERNAL
77701333	FROZEN
77701334	PETROLINA
77701335	CUSTOMER
77701336	CLOSED
77701337	CUSTOMER
77701338	CUSTOMER
77701339	OFFICE DEPOT
77701340	CLOSED
77701341	ENGAGE
77701342	ENGAGE
77701343	CLOSED
77701344	INTERNAL
77701345	CLOSED
77701346	EKO
77701347	OFFICE DEPOT
77701348	INTERNAL
77701349	CLOSED
77701350	OFFICE DEPOT
77701351	CUSTOMER
77701352	OFFICE DEPOT
77701353	ENGAGE
77701354	OFFICE DEPOT
77701355	CLOSED
77701356	INTERNAL
77701357	CUSTOMER
77701358	ENGAGE
77701359	ENGAGE
77701360	ENGAGE
77701361	ENGAGE
77701362	ENGAGE
77701363	ENGAGE
77701364	ENGAGE
77701365	ENGAGE
77701366	ENGAGE
77701367	EKO
77701368	ENGAGE
77701369	ENGAGE
77701370	ENGAGE
77701371	ENGAGE
77701372	ENGAGE
77701373	ENGAGE
77701374	ENGAGE
77701375	ENGAGE
77701376	ENGAGE
77701377	ENGAGE
77701378	ENGAGE
77701379	ENGAGE
77701380	FROZEN
77701381	ENGAGE
77701382	ENGAGE
77701383	ENGAGE
77701384	ENGAGE
77701385	ENGAGE
77701386	ENGAGE
77701387	ENGAGE
77701388	ENGAGE
77701389	ENGAGE
77701390	ENGAGE
77701391	ENGAGE
77701392	ENGAGE
77701393	ENGAGE
