Code	Classification
77700299	ENGAGE
77700300	CLOSED
77700301	CLOSED
77700302	ENGAGE
77700303	CLOSED
77700304	CUSTOMER
77700305	CUSTOMER
77700306	POTENTIAL
77700307	FROZEN
77700308	CUSTOMER
77700309	CUSTOMER
77700310	CLOSED
77700311	POTENTIAL
77700312	POTENTIAL
77700313	CUSTOMER
77700314	FROZEN
77700315	CLOSED
77700316	CLOSED
77700317	CLOSED
77700318	POTENTIAL
77700319	CLOSED
77700320	CLOSED
77700321	POTENTIAL
77700322	CLOSED
77700323	CLOSED
77700324	CUSTOMER
77700325	CLOSED
77700326	CUSTOMER
77700327	CLOSED
77700328	CLOSED
77700329	CUSTOMER
77700330	FROZEN
77700331	FROZEN
77700332	CUSTOMER
77700333	CLOSED
77700334	CLOSED
77700335	CLOSED
77700336	FROZEN
77700337	CLOSED
77700338	CLOSED
77700339	CLOSED
77700340	CLOSED
77700341	CLOSED
77700342	CLOSED
77700343	CLOSED
77700344	FROZEN
77700345	CLOSED
77700346	CLOSED
77700347	FROZEN
77700348	CLOSED
77700349	CLOSED
77700350	CLOSED
77700351	CUSTOMER
77700352	CLOSED
77700353	CLOSED
77700354	CUSTOMER
77700355	CUSTOMER
77700356	CLOSED
77700357	CLOSED
77700358	CUSTOMER
77700359	INTERNAL
77700360	EKO
77700361	EKO
77700362	POTENTIAL
77700363	CLOSED
77700364	FROZEN
77700365	CLOSED
77700366	CLOSED
77700367	CLOSED
77700368	CLOSED
77700369	CUSTOMER
77700370	POTENTIAL
77700371	CLOSED
77700372	FROZEN
77700373	CUSTOMER
77700374	EKO
77700375	EKO
77700376	EKO
77700377	EKO
77700378	EKO
77700379	EKO
77700380	EKO
77700381	EKO
77700382	EKO
77700383	EKO
77700384	CLOSED
77700385	FROZEN
77700386	CLOSED
77700387	POTENTIAL
77700388	CLOSED
77700389	CLOSED
77700390	CLOSED
77700391	ENGAGE
77700392	CLOSED
77700393	CUSTOMER
77700394	EKO
77700395	EKO
77700396	EKO
77700397	EKO
77700398	EKO
77700399	EKO
77700400	EKO
77700401	EKO
77700402	EKO
77700403	EKO
77700404	EKO
77700405	EKO
77700406	EKO
77700407	EKO
77700408	EKO
77700409	CLOSED
77700410	EKO
77700411	EKO
77700412	EKO
77700413	EKO
77700414	EKO
77700415	EKO
77700416	EKO
77700417	EKO
77700418	EKO
77700419	EKO
77700420	EKO
77700421	EKO
77700422	EKO
77700423	EKO
77700424	EKO
77700425	EKO
77700426	EKO
77700427	EKO
77700428	EKO
77700429	EKO
77700430	EKO
77700431	EKO
77700432	EKO
77700433	EKO
77700434	EKO
77700435	EKO
77700436	EKO
77700437	EKO
77700438	CUSTOMER
77700439	CLOSED
77700440	CLOSED
77700441	CLOSED
77700442	CLOSED
77700443	CLOSED
77700444	CUSTOMER
77700445	CLOSED
77700446	CLOSED
77700447	CUSTOMER
77700448	CUSTOMER
77700449	CUSTOMER
77700450	FROZEN
77700451	CLOSED
77700452	CLOSED
77700453	CLOSED
77700454	CLOSED
77700455	FROZEN
77700456	CUSTOMER
77700457	CLOSED
77700458	CLOSED
77700459	FROZEN
77700460	CLOSED
77700461	CLOSED
77700462	FROZEN
77700463	CLOSED
77700464	CLOSED
77700465	CLOSED
77700466	CLOSED
77700467	CLOSED
77700468	CLOSED
77700469	CLOSED
77700470	CLOSED
77700471	CLOSED
77700472	CLOSED
77700473	CLOSED
77700474	CLOSED
77700475	CLOSED
77700476	CLOSED
77700477	CLOSED
77700478	CLOSED
77700479	CLOSED
77700480	CLOSED
77700481	CLOSED
77700482	CLOSED
77700483	CLOSED
77700484	CLOSED
77700485	CLOSED
77700486	CLOSED
77700487	CLOSED
77700488	FROZEN
77700489	CUSTOMER
77700490	FROZEN
77700491	CLOSED
77700492	FROZEN
77700493	CLOSED
77700494	CLOSED
77700495	CLOSED
77700496	CUSTOMER
77700497	CLOSED
77700498	FROZEN
77700499	CUSTOMER
77700500	CUSTOMER
77700501	CLOSED
77700502	ENGAGE
77700503	CLOSED
77700504	CUSTOMER
77700505	CUSTOMER
77700506	EKO
77700507	EKO
77700508	CUSTOMER
77700509	CLOSED
77700510	CUSTOMER
77700511	CLOSED
77700512	CLOSED
77700513	CLOSED
77700514	CLOSED
77700515	CLOSED
77700516	ENGAGE
77700517	CLOSED
77700518	FROZEN
77700519	CLOSED
77700520	CLOSED
77700521	CLOSED
77700522	FROZEN
77700523	CUSTOMER
77700524	FROZEN
77700525	CUSTOMER
77700526	CUSTOMER
77700527	CUSTOMER
77700528	CUSTOMER
77700529	CLOSED
77700530	FROZEN
77700531	POTENTIAL
77700532	CLOSED
77700533	FROZEN
77700534	CLOSED
77700535	CLOSED
77700536	FROZEN
77700537	CLOSED
77700538	CUSTOMER
77700539	POTENTIAL
77700540	FROZEN
77700541	CUSTOMER
77700542	FROZEN
77700543	FROZEN
77700544	POTENTIAL
77700545	FROZEN
77700546	CLOSED
77700547	CLOSED
77700548	CLOSED
77700549	CLOSED
77700550	CLOSED
77700551	CLOSED
77700552	FROZEN
77700553	frOZEN
77700554	CUSTOMER
77700555	CLOSED
77700556	CLOSED
77700557	FROZEN
77700558	CLOSED
77700559	FROZEN
77700560	POTENTIAL
77700561	FROZEN
77700562	EKO
77700563	CLOSED
77700564	CUSTOMER
77700565	CLOSED
77700566	ENGAGE
77700567	CLOSED
77700568	CLOSED
77700569	FROZEN
77700570	FROZEN
77700571	CLOSED
77700572	CUSTOMER
77700573	CLOSED
77700574	CLOSED
77700575	CUSTOMER
77700576	FROZEN
77700577	CLOSED
77700578	CLOSED
77700579	CUSTOMER
77700580	EKO
77700581	CUSTOMER
77700582	FROZEN
77700583	INTERNAL
77700584	CLOSED
77700585	CLOSED
77700586	CUSTOMER
77700587	CUSTOMER
77700588	FROZEN
77700589	EKO
77700590	CUSTOMER
77700591	CLOSED
77700592	CLOSED
77700593	POTENTIAL
77700594	CLOSED
77700595	CLOSED
77700596	FROZEN
77700597	CLOSED
77700598	CLOSED
77700599	CLOSED
77700600	CLOSED
77700601	CLOSED
77700602	CLOSED
77700603	FROZEN
77700604	FROZEN
77700605	FROZEN
77700606	CUSTOMER
77700607	CUSTOMER
77700608	CUSTOMER
77700609	CLOSED
77700610	CLOSED
77700611	FROZEN
77700612	CUSTOMER
77700613	CLOSED
77700614	POTENTIAL
77700615	POTENTIAL
77700616	POTENTIAL
77700617	POTENTIAL
77700618	FROZEN
77700619	CLOSED
77700620	POTENTIAL
77700621	CLOSED
77700622	CLOSED
77700623	CUSTOMER
77700624	POTENTIAL
77700625	CLOSED
77700626	CLOSED
77700627	CLOSED
77700628	CLOSED
77700629	CUSTOMER
77700630	CLOSED
77700631	CLOSED
77700632	CLOSED
77700633	FROZEN
