store_code_365,item_code_365,item_name,season_code_365,season_name,number_of_pieces,number_field_5_value,stock,stock_reserved,available_stock,stock_ordered,stock_on_transfer
777,CLE-0033,DOMESTOS ORIGINAL BLEACH BLUE 750ML,,,1.0,20.0,33.0,4.0,29.0,0.0,0.0
777,CLE-0055,COMFORT PURELY SOFT FABRIC SOFTENER 2L,,,1.0,0.0,42.0,2.0,40.0,0.0,0.0
777,CLE-0064,EUREKA MASSALIAS CLASSIC LIQUID 2.592L 57W,,,1.0,0.0,51.0,4.0,47.0,0.0,0.0
777,CLE-0083,FAIRY ULTRA LEMON 900ML,,,1.0,64.0,50.0,4.0,46.0,0.0,0.0
777,CLE-0130,EUREKA MASSALIAS COLORS LIQUID 2.59L 57W,,,1.0,0.0,61.0,2.0,59.0,0.0,0.0
777,CLE-0136,EUREKA ACTIVE CARE 70W  3.5L,,,1.0,0.0,111.0,2.0,109.0,0.0,0.0
777,CLE-0137,EUREKA EXPRESS POWDER 420GR,,,1.0,0.0,106.0,2.0,104.0,0.0,0.0
777,CLE-0163,SEMANA FS. ELIXIR SENSUAL 1.7L,,,1.0,0.0,35.0,3.0,32.0,0.0,0.0
777,CLE-0166,SEMANA FS. PURFUMES OF NIGHT MIDNIGHT BLUE 1.65L,,,1.0,0.0,68.0,3.0,65.0,0.0,0.0
777,CLE-0175,ROKLIN ULTRA MIDNIGHT ROSE 1L,,,1.0,0.0,135.0,2.0,133.0,0.0,0.0
777,CLE-0180,ROKLIN ULTRA OCEAN 1L,,,1.0,0.0,104.0,11.0,93.0,0.0,0.0
777,CLE-0191,EUREKA EXTRA WITH VINEGAR 750ml,,,1.0,0.0,109.0,4.0,105.0,0.0,0.0
777,CLE-0194,FIORO TOILET LIQUID CLEANER BERRY BUBBLEGUM 750ml,,,1.0,18.0,96.0,3.0,93.0,0.0,0.0
777,CLE-0234,COMFORT GOLD BLUEBERRIES AND PURPLE ORCHID FABRIC SOFTENER 2L,,,1.0,0.0,18.0,4.0,14.0,0.0,0.0
777,CLE-0239,FAIRY ULTRA ORIGINAL 350ML,,,1.0,0.0,49.0,10.0,39.0,0.0,0.0
777,CLE-0240,FAIRY ULTRA LEMON 350ML,,,1.0,0.0,50.0,10.0,40.0,0.0,0.0
777,COD-0001,HALLS CHERRY TAB S/F 32GR 1X20,,,1.0,24.0,29.0,3.0,26.0,0.0,0.0
777,COD-0007,HALLS ORIGINAL TAB S/F 32GR 1X20,,,1.0,24.0,50.0,4.0,46.0,0.0,0.0
777,COD-0008,HALLS HONEY  LEMON TAB S/F 32GR 1X20,,,1.0,24.0,15.0,4.0,11.0,0.0,0.0
777,COD-0011,HALLS XSTRONG TAB S/F 32GR 1X20,,,1.0,24.0,9.0,1.0,8.0,0.0,0.0
777,COD-0017,HALLS CINNAMON TAB S/F 32GR 1X20,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,COD-0018,HALLS SPEARMINT TAB S/F 32GR 1X20,,,1.0,0.0,13.0,1.0,12.0,0.0,0.0
777,COF-0004,MEGA ROULETTE 45g 1X24,,,1.0,0.0,9.0,1.0,8.0,0.0,0.0
777,COF-0006,GIANT LOVE HEARTS 39g 1X24,,,1.0,0.0,9.0,3.0,6.0,0.0,0.0
777,COF-0015,HARIBO HAPPY COLA 100g,,,1.0,0.0,63.0,8.0,55.0,0.0,0.0
777,COF-0016,HARIBO GOLDBEAR 100g,,,1.0,0.0,116.0,30.0,86.0,0.0,0.0
777,COF-0017,HARIBO PRIMAVERA-ERDBEEREN 100g,,,1.0,0.0,33.0,30.0,3.0,0.0,0.0
777,COF-0020,HARIBO HAPPY CHERRIES 100g,,,1.0,0.0,113.0,30.0,83.0,0.0,0.0
777,COF-0026,POLO MINT ORIGINAL 34GR 1X32,,,1.0,0.0,16.0,1.0,15.0,0.0,0.0
777,COF-0029,TROLLI BURGER 50GR 1X12,,,1.0,0.0,11.0,1.0,10.0,0.0,0.0
777,COF-0038,PASTELAKI WITH PEANUTS LONG 50GR Ζaharia 1x15,,,1.0,0.0,34.0,1.0,33.0,0.0,0.0
777,COF-0042,MENTOS FRUIT ROLL 38GR 1X40,,,1.0,0.0,8.0,1.0,7.0,0.0,0.0
777,COF-0051,TROLLI GUMMI SHARKS 100GR,,,1.0,0.0,44.0,5.0,39.0,0.0,0.0
777,COF-0053,MAOAM 22GR 1X50,,,1.0,600.0,14.0,1.0,13.0,0.0,0.0
777,COF-0055,HARIBO SHAMALLOWS MALLOW MANIA 175GR,,,1.0,120.0,21.0,1.0,20.0,0.0,0.0
777,COF-0066,MAOAM KRACHER 200GR,,,1.0,0.0,36.0,5.0,31.0,0.0,0.0
777,COF-0090,TROLLI STRAWBERRY KISS 100GR,,,1.0,180.0,63.0,3.0,60.0,0.0,0.0
777,CON-0002,DUREX PLEASUREMAX 3P 1X12,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,COO-0001,DELI 11-HOLE MIRROR SURFACE SHEET PROTECTOR A4 0.035MM 100PK,350,SPK,1.0,1.0,1.0,1.0,0.0,0.0,0.0
777,COR-0012,DELI SCHOOL CORRECTION FLUID 10ML,350,SPK,1.0,24.0,10.0,5.0,5.0,0.0,0.0
777,COR-0032,TIPP-EX RAPID CORRECTION FLUID 20ml WHTE,,,1.0,0.0,20.0,10.0,10.0,0.0,0.0
777,DAP-0008,KOKO DAIRY FREE UNSWEETENED 1L,,,1.0,12.0,40.0,6.0,34.0,0.0,0.0
777,ECL-0007,GARBAGE PREMIUM BAGS luxplast  54cm x 75cm 10PCS,,,1.0,0.0,42.0,4.0,38.0,0.0,0.0
777,END-0001,HELL ENERGY DRINK CLASSIC 250ml 1X24,,,1.0,0.0,108.0,8.0,100.0,0.0,0.0
777,END-0003,HELL ENERGY DRINK STRONG APPLE 250ml 1X24,,,1.0,0.0,40.0,2.0,38.0,0.0,0.0
777,END-0006,HELL ENERGY DRINK CLASSIC 500ml 1X12,,,1.0,0.0,220.0,1.0,219.0,0.0,0.0
777,END-0011,SHARK ENERGY DRINK 250ML 1X24,,,1.0,0.0,5.0,2.0,3.0,0.0,0.0
777,END-0012,SHARK ENERGY RED BERRIES 250ML 1X24,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,END-0019,SHARK ENERGY APPLE  MELON 250ML 1X24,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,END-0067,MONSTER ENERGY GREEN ZERO 500ML 1X24,,,1.0,0.0,4.0,1.0,3.0,0.0,0.0
777,END-0069,MONSTER ENERGY MANGO LOCO 500ML 1X24,,,1.0,0.0,15.0,1.0,14.0,0.0,0.0
777,END-0072,MONSTER ENERGY ULTRA ZERO 500ML 1X24,,,1.0,0.0,11.0,1.0,10.0,0.0,0.0
777,END-0077,HELL ENERGY DRINK STRAWBERRY BANANA  500ml 1X12,,,1.0,0.0,13.0,1.0,12.0,0.0,0.0
777,ENV-0015,GOLDEN PRIME - BROWN ENV. PS 324X229MM 100GSM - 25 PCS PACK,350,SPK,1.0,1.0,2.0,2.0,0.0,0.0,0.0
777,ENV-0019,GOLDEN PRIME - BROWN ENV. PS 250X176MM 120GSM - 25 PCS PACK,350,SPK,1.0,1.0,3.0,3.0,0.0,0.0,0.0
777,GIN-0002,GORDONS LONDON DRY GIN 70CL,330,ZOOM DRINGS,1.0,0.0,0.0,2.0,-2.0,0.0,0.0
777,GLT-0010,PANFIX CELLULOSE  TAPE 5/8   X 72 YARDS,350,SPK,1.0,10.0,15.0,1.0,14.0,0.0,0.0
777,GLT-0019,DELI TRANSPARENT TAPE  18MMX7.62M WITH DISPENSER BLISTER,350,SPK,1.0,1.0,0.0,3.0,-3.0,0.0,0.0
777,GRO-0020,ROYAL CRYSTAL SUGAR 1KG 1X10,,,1.0,0.0,75.0,21.0,54.0,0.0,0.0
777,GRO-0069,ST. DALFOUR STRAWBERRY JAM 284GR,,,1.0,12.0,16.0,1.0,15.0,0.0,0.0
777,GRO-0072,MR NOODLES BEEF 280GR 4PCS,,,1.0,0.0,57.0,3.0,54.0,0.0,0.0
777,GRO-0073,MR NOODLES CHICKEN 280GR 4PCS,,,1.0,0.0,79.0,6.0,73.0,0.0,0.0
777,ICC-0005,MR.BROWN ORIGINAL CAN 240ML 1X24,,,1.0,0.0,21.0,1.0,20.0,0.0,0.0
777,ICC-0006,MR.BROWN VANILLA CAN 240ML 1X24,,,1.0,0.0,24.0,2.0,22.0,0.0,0.0
777,ICC-0013,POKKA MILK COFFEE 240ML 1X30,,,1.0,0.0,43.0,1.0,42.0,0.0,0.0
777,ICC-0043,HELL ENERGY COFFEE LATTE 250ML 1X24,,,1.0,24.0,13.0,1.0,12.0,0.0,0.0
777,ICT-0019,LIPTON  ICE TEA PEACH PET 500ML 1X12,,,1.0,0.0,17.0,4.0,13.0,0.0,0.0
777,ICT-0027,LIPTON ICE TEA TROPICAL 330ML 4X6,,,1.0,24.0,8.0,1.0,7.0,0.0,0.0
777,INC-0007,CADBURY COCOA 125GR,,,1.0,6.0,112.0,3.0,109.0,0.0,0.0
777,INC-0008,CADBURY DRINKING CHOCOLATE 250GR,,,1.0,0.0,80.0,6.0,74.0,0.0,0.0
777,JUI-0018,ALEO ALOE VERA STRAWBERRY 500ML,,,1.0,24.0,142.0,6.0,136.0,0.0,0.0
777,JUI-0019,ALEO ALOE VERA POMEGRANATE 500ML,,,1.0,24.0,118.0,15.0,103.0,0.0,0.0
777,JUI-0020,ALEO ALOE VERA MANGO 500ML,,,1.0,24.0,97.0,1.0,96.0,0.0,0.0
777,JUI-0026,KEAN MANGO  RODI NECTAR JUICE 250ML 9PACK,,,1.0,27.0,22.0,1.0,21.0,0.0,0.0
777,JUI-0036,KEANITA ORANGE FRUIT 250ML 3X9,,,1.0,27.0,8.0,1.0,7.0,0.0,0.0
777,KCO-0052,REUSABLE STRAWS FOR FREDDO COVERED 18cm 1000PCS,,,1.0,0.0,23.0,3.0,20.0,0.0,0.0
777,KCO-0074,PAPER CUP HOLDER BOX 4 POSITIONS  50PCS KRAFT,,,1.0,0.0,20.0,3.0,17.0,0.0,0.0
777,KCO-0075,PAPER CUP HOLDER BOX 2 POSITIONS  50PCS KRAFT,,,1.0,0.0,270.0,3.0,267.0,0.0,0.0
777,KCO-0085,PAPER CUP DOUBLE WALL 12-14oz 25PCS,,,1.0,0.0,163.0,4.0,159.0,0.0,0.0
777,MAR-0011,PILOT MARKER PERMA FINE BLACK,350,SPK,1.0,12.0,3.0,2.0,1.0,0.0,0.0
777,MAR-0017,PILOT MARKER PERMA FINE  RED,350,SPK,1.0,12.0,10.0,2.0,8.0,0.0,0.0
777,PEC-0010,PANTENE PROV SMOOTH SLEEK SHAMPOO 400ML,,,1.0,0.0,51.0,3.0,48.0,0.0,0.0
777,PEC-0044,DOVE DEO ORIGINAL 150ML 1X6,,,1.0,0.0,16.0,1.0,15.0,0.0,0.0
777,PEC-0047,LISTERINE COOL MINT 250ML,,,1.0,144.0,26.0,1.0,25.0,0.0,0.0
777,PEC-0065,ANTISEPTIC SPRAY 110ML Mr. Brewer,,,1.0,0.0,66.0,8.0,58.0,0.0,0.0
777,PEC-0087,PALMOLIVE SHAMPOO ANTI-DANDRUFF 350ML,,,1.0,72.0,40.0,2.0,38.0,0.0,0.0
777,PEC-0096,SEPTONA COTTON BUDS BIODEGRADABLE 200PCS,,,1.0,0.0,30.0,2.0,28.0,0.0,0.0
777,PEC-0121,PALMOLIVE SHAMPOO ALOE 350ML,,,1.0,72.0,55.0,5.0,50.0,0.0,0.0
777,PEC-0124,AXE DEO BODYSPRAY BLACK 150ML 1X6,,,1.0,0.0,11.0,1.0,10.0,0.0,0.0
777,PEC-0128,BRYLCREEM ORIGINAL RED STYLING POT 250ML,,,1.0,0.0,26.0,1.0,25.0,0.0,0.0
777,PEC-0133,WET HANKIES CLEAN  PROTECT ANTIVACTERIAL 15s 2+2FREE,,,1.0,0.0,28.0,2.0,26.0,0.0,0.0
777,PEC-0145,SENSODYNE TOOTHPASTE REPAIR  PROTECT EXTRA FRESH 75 ML,,,1.0,20.0,10.0,4.0,6.0,0.0,0.0
777,PEC-0146,SENSODYNE TOOTHPASTE REPAIR  PROTECT WHITENING 75 ML,,,1.0,20.0,35.0,2.0,33.0,0.0,0.0
777,PEC-0294,NEUTRO DEO SPRAY POWDER FRESH 50ML,,,1.0,24.0,45.0,3.0,42.0,0.0,0.0
777,PEF-0040,SIMBA CAT FISH 415GR 1X24,,,1.0,0.0,3.0,1.0,2.0,0.0,0.0
777,RUL-0018,RUBBER BANDS 100 CREPE 50 GRAMS BOX - 60X1.2MM Blue,350,SPK,1.0,1.0,2.0,2.0,0.0,0.0,0.0
777,RUL-0022,DELI PS RULER 20CM ASSORTED,350,SPK,1.0,1.0,3.0,3.0,0.0,0.0,0.0
777,SCC-0003,SDI LARGE CUTTER KNIFE WITH PUSH BRAKE,350,SPK,1.0,1.0,4.0,4.0,0.0,0.0,0.0
777,SHA-0022,GILLETTE CLASSIC FOAM REGULAR 200ML,,,1.0,72.0,21.0,1.0,20.0,0.0,0.0
777,SNA-0001,PRINGLES ORIGINAL 165GR,,,1.0,19.0,164.0,19.0,145.0,0.0,0.0
777,SNA-0062,7DAYS BAKE ROLLS PIZZA 80GR 1X12,,,1.0,0.0,6.0,2.0,4.0,0.0,0.0
777,SNA-0083,LAYS SALTED 42GR 1X4,,,4.0,0.0,31.5,3.0,28.5,0.0,0.0
777,SNA-0084,LAYS SALT AND VINEGAR 42GR 1X4,,,4.0,0.0,16.0,2.0,14.0,0.0,0.0
777,SNA-0085,LAYS PRAWN COCKTAIL 42GR 1X4,,,4.0,0.0,23.25,2.0,21.25,0.0,0.0
777,SNA-0086,LAYS BARBEQUE 42GR 1X4,,,4.0,0.0,16.0,2.0,14.0,0.0,0.0
777,SNA-0094,HANDY SKIPS BACON 65GR 1X3,,,3.0,0.0,16.0,1.0,15.0,0.0,0.0
777,SNA-0101,PELLITO SALTED PEANUTS 50gr 1X7,,,7.0,0.0,27.0,1.0,26.0,0.0,0.0
777,SNA-0105,KATERINA PITTA SATZIS 180GR,,,1.0,0.0,55.0,21.0,34.0,0.0,0.0
777,SOD-0003,COCA COLA CAN 330ml 1X24,,,1.0,0.0,117.0,4.0,113.0,0.0,0.0
777,SOD-0004,COCA COLA ZERO CAN 330ml 3X8,,,1.0,0.0,59.0,6.0,53.0,0.0,0.0
777,SOD-0007,COCA COLA PET 500ml 6X4,,,1.0,0.0,11.0,1.0,10.0,0.0,0.0
777,SOD-0012,COCA COLA PET 1.5L 1X6,,,1.0,0.0,52.0,1.0,51.0,0.0,0.0
777,SOD-0020,7UP 330ML CAN 3X8,,,1.0,24.0,36.0,1.0,35.0,0.0,0.0
777,SOD-0021,PEPSI COLA 330ML CAN 3X8,,,1.0,24.0,13.0,1.0,12.0,0.0,0.0
777,SOD-0024,KEAN ORANGADE 250ML 1X24,,,1.0,24.0,3.0,1.0,2.0,0.0,0.0
777,SOD-0026,VIMTO 250ML 1X24,,,1.0,24.0,7.0,1.0,6.0,0.0,0.0
777,SOD-0041,7UP ZERO 330ML CAN 3X8,,,1.0,0.0,9.0,2.0,7.0,0.0,0.0
777,SOD-0042,IVI SODA 330ML CAN 4X6,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,SOD-0043,PEPSI COLA PET 2L 1X8,,,1.0,0.0,22.0,1.0,21.0,0.0,0.0
777,SPD-0026,OSHEE SPORT DRINK ZERO MULTIFRUIT 750ML 1X6,,,1.0,6.0,20.0,1.0,19.0,0.0,0.0
777,SPD-0027,OSHEE SPORT DRINK RED ORANGE 750ML 1X6,,,1.0,6.0,18.0,1.0,17.0,0.0,0.0
777,SPD-0028,OSHEE SPORT DRINK ZERO LEMON 750ML 1X6,,,1.0,6.0,12.0,1.0,11.0,0.0,0.0
777,SRP-0003,DELI TAPE DISPENSER LARGE,350,SPK,1.0,1.0,1.0,1.0,0.0,0.0,0.0
777,STA-0114,GLOBULUS CLASSIC COPY PAPER A4 80GSM 5X500 SHEETS,,,1.0,0.0,8.0,1.0,7.0,0.0,0.0
777,STA-0147,"SAX STAPLES 24/6, P1000-ZING",,,1.0,1.0,80.0,20.0,60.0,0.0,0.0
777,STN-0003,STICK  N 76X76MM 100 SHEETS PAD YELLOW,350,SPK,1.0,12.0,12.0,1.0,11.0,0.0,0.0
777,TAC-0001,RIZLA+ 120 FILTER TIPS ULTRA SLIMS 1X20,,,1.0,0.0,88.0,26.0,62.0,0.0,0.0
777,TAC-0002,RIZLA+ 150 FILTER TIPS SLIMS 1X10,,,1.0,0.0,67.0,3.0,64.0,0.0,0.0
777,TAC-0003,RIZLA+ 50 MICRON ULTRA THIN PAPERS 1X50,,,1.0,0.0,38.0,2.0,36.0,0.0,0.0
777,TAC-0004,RIZLA+ 50 SILVER SUPER THIN PAPERS 1X100,,,1.0,0.0,26.0,2.0,24.0,0.0,0.0
777,TAC-0027,SMOKING BROWN REGULAR PAPER 60 LEAVES 1X50,,,1.0,0.0,20.0,20.0,0.0,0.0,0.0
777,TAC-0030,SMOKING DELUXE ROLLS 4M+33 FILTER TIPS 1X24,,,1.0,0.0,26.0,1.0,25.0,0.0,0.0
777,WAT-0012,OSHEE VITAMIN WATER RED GRAPE/DRAGON FRUIT 555ML 1X6,,,1.0,6.0,13.0,1.0,12.0,0.0,0.0
777,WAT-0014,OSHEE VITAMIN WATER ZERO 555ML 1X6,,,1.0,6.0,10.0,1.0,9.0,0.0,0.0
